2023-11-03 14:25:55,046 INFO    StreamThr :30445 [internal.py:wandb_internal():86] W&B internal server running at pid: 30445, started at: 2023-11-03 14:25:55.046056
2023-11-03 14:25:55,047 DEBUG   HandlerThread:30445 [handler.py:handle_request():146] handle_request: status
2023-11-03 14:25:55,047 INFO    WriterThread:30445 [datastore.py:open_for_write():85] open: /home/maelic/Documents/PhD/ModelZoo/SGG2IM/sg2im/wandb/run-20231103_142555-6dsgcg3e/run-6dsgcg3e.wandb
2023-11-03 14:25:55,050 DEBUG   SenderThread:30445 [sender.py:send():380] send: header
2023-11-03 14:25:55,055 DEBUG   SenderThread:30445 [sender.py:send():380] send: run
2023-11-03 14:25:56,057 INFO    SenderThread:30445 [dir_watcher.py:__init__():211] watching files in: /home/maelic/Documents/PhD/ModelZoo/SGG2IM/sg2im/wandb/run-20231103_142555-6dsgcg3e/files
2023-11-03 14:25:56,058 INFO    SenderThread:30445 [sender.py:_start_run_threads():1122] run started: 6dsgcg3e with start time 1699017955.046008
2023-11-03 14:25:56,063 DEBUG   HandlerThread:30445 [handler.py:handle_request():146] handle_request: check_version
2023-11-03 14:25:56,063 DEBUG   SenderThread:30445 [sender.py:send_request():407] send_request: check_version
2023-11-03 14:25:56,150 DEBUG   HandlerThread:30445 [handler.py:handle_request():146] handle_request: run_start
2023-11-03 14:25:56,171 DEBUG   HandlerThread:30445 [system_info.py:__init__():32] System info init
2023-11-03 14:25:56,171 DEBUG   HandlerThread:30445 [system_info.py:__init__():47] System info init done
2023-11-03 14:25:56,171 INFO    HandlerThread:30445 [system_monitor.py:start():194] Starting system monitor
2023-11-03 14:25:56,171 INFO    SystemMonitor:30445 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-03 14:25:56,172 INFO    HandlerThread:30445 [system_monitor.py:probe():214] Collecting system info
2023-11-03 14:25:56,172 INFO    SystemMonitor:30445 [interfaces.py:start():190] Started cpu monitoring
2023-11-03 14:25:56,172 INFO    SystemMonitor:30445 [interfaces.py:start():190] Started disk monitoring
2023-11-03 14:25:56,173 INFO    SystemMonitor:30445 [interfaces.py:start():190] Started gpu monitoring
2023-11-03 14:25:56,173 INFO    SystemMonitor:30445 [interfaces.py:start():190] Started memory monitoring
2023-11-03 14:25:56,174 INFO    SystemMonitor:30445 [interfaces.py:start():190] Started network monitoring
2023-11-03 14:25:56,197 DEBUG   HandlerThread:30445 [system_info.py:probe():196] Probing system
2023-11-03 14:25:56,202 DEBUG   HandlerThread:30445 [system_info.py:_probe_git():181] Probing git
2023-11-03 14:25:56,213 DEBUG   HandlerThread:30445 [system_info.py:_probe_git():189] Probing git done
2023-11-03 14:25:56,213 DEBUG   HandlerThread:30445 [system_info.py:probe():244] Probing system done
